Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
ELV,Export Loaded on Vessel,20DV,1488,2022-01-01,A
ELV,Export Loaded on Vessel,20DV,4528,2022-01-01,B
ELV,Export Loaded on Vessel,20DV,896,2022-01-01,C
ELV,Export Loaded on Vessel,40DV,96,2022-01-01,A
ELV,Export Loaded on Vessel,40DV,320,2022-01-01,B
ELV,Export Loaded on Vessel,40DV,976,2022-01-01,C
ELV,Export Loaded on Vessel,40HC,3312,2022-01-01,A
ELV,Export Loaded on Vessel,40HC,2432,2022-01-01,B
ELV,Export Loaded on Vessel,40HC,128,2022-01-01,D
ELV,Export Loaded on Vessel,40HC,2800,2022-01-01,C
ELV,Export Loaded on Vessel,40HR,352,2022-01-01,A
ELV,Export Loaded on Vessel,40HR,768,2022-01-01,B
ELV,Export Loaded on Vessel,40HR,80,2022-01-01,C
IDV,Import Discharged from Vessel,20DV,2528,2022-01-01,A
IDV,Import Discharged from Vessel,20DV,1536,2022-01-01,B
IDV,Import Discharged from Vessel,20DV,1424,2022-01-01,C
IDV,Import Discharged from Vessel,40DV,480,2022-01-01,A
IDV,Import Discharged from Vessel,40DV,48,2022-01-01,B
IDV,Import Discharged from Vessel,40DV,80,2022-01-01,C
IDV,Import Discharged from Vessel,40HC,3184,2022-01-01,A
IDV,Import Discharged from Vessel,40HC,2928,2022-01-01,B
IDV,Import Discharged from Vessel,40HC,1072,2022-01-01,C
IDV,Import Discharged from Vessel,40HR,64,2022-01-01,A
IDV,Import Discharged from Vessel,40HR,32,2022-01-01,B
IDV,Import Discharged from Vessel,40HR,2816,2022-01-01,C
ELV,Export Loaded on Vessel,20DV,5408,2022-01-02,A
ELV,Export Loaded on Vessel,20DV,7168,2022-01-02,B
ELV,Export Loaded on Vessel,20DV,5920,2022-01-02,E
ELV,Export Loaded on Vessel,20DV,304,2022-01-02,F
ELV,Export Loaded on Vessel,20DV,3280,2022-01-02,C
ELV,Export Loaded on Vessel,20DV,7136,2022-01-02,G
