weekyear,Equipment Type,Container Size,Location,Export Units,Import Units,Imbalance
2022-01,Dry,20,A,64288,43744,-20544
2022-01,Dry,20,B,83952,129888,45936
2022-01,Dry,20,C,28832,33664,4832
2022-01,Dry,20,D,240,656,416
2022-01,Dry,20,E,7792,13632,5840
2022-01,Dry,20,F,12544,5008,-7536
2022-01,Dry,20,G,42848,13984,-28864
2022-01,Dry,40,A,88112,70384,-17728
2022-01,Dry,40,B,105712,174912,69200
2022-01,Dry,40,C,25248,42192,16944
2022-01,Dry,40,D,96,0,-96
2022-01,Dry,40,E,20368,19360,-1008
2022-01,Dry,40,F,25888,11664,-14224
2022-01,Dry,40,G,16752,15360,-1392
2022-01,Reefer,20,A,352,16,-336
2022-01,Reefer,20,B,160,608,448
2022-01,Reefer,20,C,80,96,16
2022-01,Reefer,20,E,16,32,16
2022-01,Reefer,20,F,544,0,-544
2022-01,Reefer,20,G,0,16,16
2022-01,Reefer,40,A,17648,4192,-13456
2022-01,Reefer,40,B,12768,20240,7472
2022-01,Reefer,40,C,4384,14768,10384
2022-01,Reefer,40,E,800,560,-240
2022-01,Reefer,40,F,5232,320,-4912
2022-01,Reefer,40,G,5936,2624,-3312
2022-02,Dry,20,A,54960,54000,-960
2022-02,Dry,20,B,105536,97440,-8096
2022-02,Dry,20,C,21632,22336,704
2022-02,Dry,20,D,0,384,384
2022-02,Dry,20,E,13648,14000,352
2022-02,Dry,20,F,9136,6352,-2784
2022-02,Dry,20,G,49248,11136,-38112
2022-02,Dry,40,A,69104,87712,18608
2022-02,Dry,40,B,142048,98608,-43440
2022-02,Dry,40,C,22224,29504,7280
2022-02,Dry,40,D,336,80,-256
2022-02,Dry,40,E,26592,21408,-5184
2022-02,Dry,40,F,17216,14944,-2272
2022-02,Dry,40,G,17424,16064,-1360
2022-02,Reefer,20,A,368,48,-320
2022-02,Reefer,20,B,416,80,-336
2022-02,Reefer,20,C,160,48,-112
2022-02,Reefer,20,E,208,0,-208
2022-02,Reefer,20,F,192,16,-176
2022-02,Reefer,40,A,9360,4320,-5040
2022-02,Reefer,40,B,15472,8080,-7392
2022-02,Reefer,40,C,4384,12192,7808
2022-02,Reefer,40,D,0,16,16
2022-02,Reefer,40,E,864,352,-512
2022-02,Reefer,40,F,2000,1008,-992
2022-02,Reefer,40,G,4496,2688,-1808
2022-03,Dry,20,A,70576,45680,-24896
2022-03,Dry,20,B,128192,101408,-26784
2022-03,Dry,20,C,19360,34096,14736
2022-03,Dry,20,E,11472,10864,-608
2022-03,Dry,20,F,11584,6784,-4800
2022-03,Dry,20,G,27584,10768,-16816
2022-03,Dry,40,A,84576,58176,-26400
2022-03,Dry,40,B,145520,118816,-26704
2022-03,Dry,40,C,25584,49472,23888
2022-03,Dry,40,D,0,64,64
2022-03,Dry,40,E,24384,20112,-4272
2022-03,Dry,40,F,15904,18480,2576
2022-03,Dry,40,G,12784,17744,4960
2022-03,Reefer,20,A,336,16,-320
2022-03,Reefer,20,B,432,304,-128
2022-03,Reefer,20,C,240,64,-176
2022-03,Reefer,20,E,112,0,-112
2022-03,Reefer,20,F,64,0,-64
2022-03,Reefer,20,G,80,32,-48
2022-03,Reefer,40,A,16304,4240,-12064
2022-03,Reefer,40,B,31760,32576,816
2022-03,Reefer,40,C,5648,17440,11792
2022-03,Reefer,40,E,576,624,48
2022-03,Reefer,40,F,2464,496,-1968
2022-03,Reefer,40,G,6640,2688,-3952
2022-04,Dry,20,A,73440,36816,-36624
2022-04,Dry,20,B,142832,95168,-47664
2022-04,Dry,20,C,14304,34496,20192
2022-04,Dry,20,D,0,128,128
2022-04,Dry,20,E,6144,8208,2064
2022-04,Dry,20,F,8528,2256,-6272
2022-04,Dry,20,G,58528,13776,-44752
2022-04,Dry,40,A,90800,69856,-20944
2022-04,Dry,40,B,165280,119104,-46176
2022-04,Dry,40,C,17280,45424,28144
2022-04,Dry,40,D,192,48,-144
2022-04,Dry,40,E,9728,20272,10544
2022-04,Dry,40,F,21632,4736,-16896
2022-04,Dry,40,G,22240,17920,-4320
2022-04,Reefer,20,A,448,32,-416
2022-04,Reefer,20,B,288,448,160
2022-04,Reefer,20,C,176,0,-176
2022-04,Reefer,20,F,336,48,-288
2022-04,Reefer,20,G,32,0,-32
2022-04,Reefer,40,A,19664,4960,-14704
2022-04,Reefer,40,B,16976,11888,-5088
2022-04,Reefer,40,C,4288,16624,12336
2022-04,Reefer,40,E,272,224,-48
2022-04,Reefer,40,F,6032,512,-5520
2022-04,Reefer,40,G,9360,1904,-7456
2022-05,Dry,20,A,46448,33328,-13120
2022-05,Dry,20,B,84848,117712,32864
